# dup008-keeplocal-variants.txt — machine-readable inventory for future review
# Generated by Wave 11 DUP-008 finish, 2026-05-26
#
# This file is designed to be grep-friendly for CI/lint scripts.
# Format: STATUS|FILE:LINE|NAME|DIVERGENCE|REASON
# STATUS: KEEP_LOCAL (intentional divergence) or DUP (intra-module duplicate)

KEEP_LOCAL|frontend/src/app/(checkout)/components/OrderBumpCard.tsx:42|formatBRL|cents_input_raw_string|checkout data model uses integer cents
KEEP_LOCAL|frontend/src/app/(checkout)/order/[orderId]/upsell/upsell.helpers.ts:38|formatBRL|cents_input_raw_string|checkout data model uses integer cents
KEEP_LOCAL|frontend/src/components/kloel/marketing/WhatsAppExperience.helpers.ts:181|formatMoney|min_fraction_digits_0|intentional zero-decimal display for WhatsApp card UI
KEEP_LOCAL|frontend/src/components/kloel/settings/analytics-settings-section.tsx:32|formatMoneyBRL|fallback_em_dash|settings panels use em-dash for missing data
KEEP_LOCAL|frontend/src/components/kloel/settings/billing-settings-section.tsx:39|formatMoney|fallback_hardcoded_R$0_00|billing panel shows explicit zero
KEEP_LOCAL|frontend/src/components/kloel/settings/crm-settings-section.helpers.ts:14|formatMoney|fallback_hardcoded_R$0_00|CRM settings panel shows explicit zero (identical to billing)
KEEP_LOCAL|frontend/src/app/(main)/autopilot/page.ui.tsx:196|formatCurrency|fallback_R$0_no_decimals|autopilot unique fallback
DUP|frontend/src/app/(main)/autopilot/AutopilotPlanList.tsx:20|formatCurrency|duplicate_of_page.ui|should import from ./page.ui
DUP|frontend/src/app/(main)/autopilot/AutopilotRulesPanel.tsx:29|formatCurrency|duplicate_of_page.ui|should import from ./page.ui
KEEP_LOCAL|frontend/src/app/(main)/dashboard/page.tsx:11|formatCurrency|cents_input_intl|dashboard uses cents
KEEP_LOCAL|frontend/src/components/kloel/home/HomeKpiTiles.tsx:10|formatCurrency|cents_input_intl|home KPIs use cents
KEEP_LOCAL|frontend/src/components/kloel/home/HomeRecentActivity.tsx:12|formatCurrency|cents_input_intl|home activity uses cents
KEEP_LOCAL|frontend/src/components/kloel/settings/brain-settings-section.helpers.ts:69|formatCurrency|fallback_empty_string|brain settings empty fallback
KEEP_LOCAL|frontend/src/components/kloel/products/ProductNerveCenter.helpers.ts:21|_formatCurrencyMask|string_input_digit_sanitization|form input domain
KEEP_LOCAL|frontend/src/components/kloel/products/product-nerve-center.inputs.tsx:83|formatCurrencyDigits|cents_input_fixed_2_digits|form input domain
KEEP_LOCAL|frontend/src/app/(public)/pay/[id]/page.tsx:132|formatCurrency|inline_no_null_handling|pay page inline formatter

# frontend-admin variants (out of scope for this wave but noted)
KEEP_LOCAL|frontend-admin/src/app/(admin)/_components/admin-formatters.ts:26|formatCurrency|cents_input_divides_by_100|admin cents formatting
KEEP_LOCAL|frontend-admin/src/app/(admin)/marketing/page.tsx:31|formatMoney|fallback_em_dash|admin marketing fallback
KEEP_LOCAL|frontend-admin/src/app/(admin)/produtos/page.helpers.ts:1|formatMoney|fallback_em_dash|admin produtos fallback (identical to marketing)
KEEP_LOCAL|frontend-admin/src/components/ui/metric-number.tsx:23|formatCurrencyFromCents|cents_input_shared_BRL_formatter|admin metric component
